-DOCSTART- -X- O
ส่วนตัวเป็นคนค่อนข้างเรื่องมาก -X- _ O
พอไปเจอโรงแรมนี้คือว้าว -X- _ O
และเป็นการจองผ่านแอพครั้งแรกค่ะ -X- _ O
เข้าไปนึกว่าจะอยู่ห่างหาดมาก -X- _ B-Location_Pos
แต่เอาความจริงคือใกล้หาด -X- _ I-Location_Pos
ห้องสะอาด -X- _ B-Clean_Pos
วิวดีค่ะ -X- _ B-Good_View
ราคาไม่แพงทุกอย่างในห้องคือสะอาด -X- _ B-Price_Pos
พี่ที่เคาน์เตอร์คือบริการพูดเพราะสอบถามให้คำแนะนำสำหรับการมาพักหลายๆวันด้วย -X- _ B-Service_Pos
โรงแรมหาไม่ยากค่ะติดถนน -X- _ O
และได้เจอเพื่อนต่างชาติบนลิฟต์ได้พูดคุยน่ารักเป็นกันเอง -X- _ O
สระน้ำไม่ใหญ่มากแต่สะอาดค่ะ -X- _ O
ใครมองๆหาแนะนำเลยค่ะ -X- _ B-Recommend_Pos
ส่วนตัวประทับใจมากค่ะ -X- _ B-Impressed_Pos
ไว้ไปใหม่ค่าาาา -X- _ I-Impressed_Pos

ห้องใหญ่มากแบ่งเป็นสัดส่วน -X- _ B-Room_Pos
ห้องนอน -X- _ I-Room_Pos
ห้องนั่งเล่น -X- _ I-Room_Pos
มีห้องน้ำในห้องนอน -X- _ I-Room_Pos
และห้องน้ำในห้องนั่งเล่น -X- _ I-Room_Pos
พนักงานบริการดีมาก -X- _ B-Service_Pos
ห้องสะอาด -X- _ B-Clean_Pos
ห้องน้ำสะอาด -X- _ I-Clean_Pos
ทำเลไกล้ของกินอร่อยๆหลายร้าน -X- _ B-Location_Pos
เดินทางสะดวก -X- _ I-Location_Pos
หาของกินง่าย -X- _ I-Location_Pos

ห้องพักดีมากกกก -X- _ B-Room_Pos
บรรยากาศคือน่าอยู่อยากอยู่เป็นอาทิตย์เลย -X- _ I-Room_Pos
วิวสวยสุดๆ -X- _ B-Good_View
มีทั้งบาร์ -X- _ B-Facilities_Pos
ห้องอาหาร -X- _ I-Facilities_Pos
สิ่งอำนวยความสะดวกหลายอย่าง -X- _ I-Facilities_Pos
ที่สำคัญพนักงานบริการดีมาก -X- _ B-Service_Pos
